Node,Depth,Value
A9,3,3
A3,3,3
A10,3,3
A3,3,3
A11,3,3
A3,3,3
B5,2,3
A4,3,2
B5,2,3
A5,3,2
B5,2,3
A6,3,2
B5,2,3
A7,3,2
B5,2,3
A8,3,2
B5,2,3
A9,3,2
B5,2,3
A10,3,2
B5,2,3
A11,3,2
B5,2,3
A3,1,3
B6,2,-Infinity
A2,3,2
B6,2,2
A3,3,-Infinity
A2,3,3
A3,3,3
A4,3,3
A3,3,3
A5,3,3
A3,3,3
A6,3,3
A3,3,3
A7,3,3
A3,3,3
A8,3,3
A3,3,3
A9,3,3
A3,3,3
A10,3,3
A3,3,3
A11,3,3
A3,3,3
B6,2,3
A4,3,2
B6,2,3
A5,3,2
B6,2,3
A6,3,2
B6,2,3
A7,3,2
B6,2,3
A8,3,2
B6,2,3
A9,3,2
B6,2,3
A10,3,2
B6,2,3
A11,3,2
B6,2,3
A3,1,3
B7,2,-Infinity
A2,3,2
B7,2,2
A3,3,-Infinity
A2,3,3
A3,3,3
A4,3,3
A3,3,3
A5,3,3
A3,3,3
A6,3,3
A3,3,3
A7,3,3
A3,3,3
A8,3,3
A3,3,3
A9,3,3
A3,3,3
A10,3,3
A3,3,3
A11,3,3
A3,3,3
B7,2,3
A4,3,2
B7,2,3
A5,3,2
B7,2,3
A6,3,2
B7,2,3
A7,3,2
B7,2,3
A8,3,2
B7,2,3
A9,3,2
B7,2,3
A10,3,2
B7,2,3
A11,3,2
B7,2,3
A3,1,3
B8,2,-Infinity
A2,3,2
B8,2,2
A3,3,-Infinity
A2,3,3
A3,3,3
A4,3,3
A3,3,3
A5,3,3
A3,3,3
A6,3,3
A3,3,3
A7,3,3
A3,3,3
A8,3,3
A3,3,3
A9,3,3
A3,3,3
A10,3,3
A3,3,3
A11,3,3
A3,3,3
B8,2,3
A4,3,2
B8,2,3
A5,3,2
B8,2,3
A6,3,2
B8,2,3
A7,3,2
B8,2,3
A8,3,2
B8,2,3
A9,3,2
B8,2,3
A10,3,2
B8,2,3
A11,3,2
B8,2,3
A3,1,3
B9,2,-Infinity
A2,3,2
B9,2,2
A3,3,-Infinity
A2,3,3
A3,3,3
A4,3,3
A3,3,3
A5,3,3
A3,3,3
A6,3,3
A3,3,3
A7,3,3
A3,3,3
A8,3,3
A3,3,3
A9,3,3
A3,3,3
A10,3,3
A3,3,3
A11,3,3
A3,3,3
B9,2,3
A4,3,2
B9,2,3
A5,3,2
B9,2,3
A6,3,2
B9,2,3
A7,3,2
B9,2,3
A8,3,2
B9,2,3
A9,3,2
B9,2,3
A10,3,2
B9,2,3
A11,3,2
B9,2,3
A3,1,3
B10,2,-Infinity
A2,3,2
B10,2,2
A3,3,-Infinity
A2,3,3
A3,3,3
A4,3,3
A3,3,3
A5,3,3
A3,3,3
A6,3,3
A3,3,3
A7,3,3
A3,3,3
A8,3,3
A3,3,3
A9,3,3
A3,3,3
A10,3,3
A3,3,3
A11,3,3
A3,3,3
B10,2,3
A4,3,2
B10,2,3
A5,3,2
B10,2,3
A6,3,2
B10,2,3
A7,3,2
B10,2,3
A8,3,2
B10,2,3
A9,3,2
B10,2,3
A10,3,2
B10,2,3
A11,3,2
B10,2,3
A3,1,3
B11,2,-Infinity
A2,3,2
B11,2,2
A3,3,1
B11,2,2
A4,3,2
B11,2,2
A5,3,2
B11,2,2
A6,3,2
B11,2,2
A7,3,2
B11,2,2
A8,3,2
B11,2,2
A9,3,2
B11,2,2
A10,3,2
B11,2,2
A11,3,2
B11,2,2
A3,1,2
root,0,2
A4,1,Infinity
B2,2,-Infinity
A2,3,2
B2,2,2
A3,3,2
B2,2,2
A4,3,0
B2,2,2
A5,3,2
B2,2,2
A6,3,2
B2,2,2
A7,3,2
B2,2,2
A8,3,2
B2,2,2
A9,3,2
B2,2,2
A10,3,2
B2,2,2
A11,3,2
B2,2,2
A4,1,2
B3,2,-Infinity
A2,3,2
B3,2,2
A3,3,2
B3,2,2
A4,3,0
B3,2,2
A5,3,2
B3,2,2
A6,3,2
B3,2,2
A7,3,2
B3,2,2
A8,3,2
B3,2,2
A9,3,2
B3,2,2
A10,3,2
B3,2,2
A11,3,2
B3,2,2
A4,1,2
B4,2,-Infinity
A2,3,2
B4,2,2
A3,3,2
B4,2,2
A4,3,0
B4,2,2
A5,3,2
B4,2,2
A6,3,2
B4,2,2
A7,3,2
B4,2,2
A8,3,2
B4,2,2
A9,3,2
B4,2,2
A10,3,2
B4,2,2
A11,3,2
B4,2,2
A4,1,2
B5,2,-Infinity
A2,3,2
B5,2,2
A3,3,2
B5,2,2
A4,3,0
B5,2,2
A5,3,2
B5,2,2
A6,3,2
B5,2,2
A7,3,2
B5,2,2
A8,3,2
B5,2,2
A9,3,2
B5,2,2
A10,3,2
B5,2,2
A11,3,2
B5,2,2
A4,1,2
B6,2,-Infinity
A2,3,2
B6,2,2
A3,3,2
B6,2,2
A4,3,0
B6,2,2
A5,3,2
B6,2,2
A6,3,2
B6,2,2
A7,3,2
B6,2,2
A8,3,2
B6,2,2
A9,3,2
B6,2,2
A10,3,2
B6,2,2
A11,3,2
B6,2,2
A4,1,2
B7,2,-Infinity
A2,3,2
B7,2,2
A3,3,2
B7,2,2
A4,3,0
B7,2,2
A5,3,2
B7,2,2
A6,3,2
B7,2,2
A7,3,2
B7,2,2
A8,3,2
B7,2,2
A9,3,2
B7,2,2
A10,3,2
B7,2,2
A11,3,2
B7,2,2
A4,1,2
B8,2,-Infinity
A2,3,2
B8,2,2
A3,3,2
B8,2,2
A4,3,0
B8,2,2
A5,3,2
B8,2,2
A6,3,2
B8,2,2
A7,3,2
B8,2,2
A8,3,2
B8,2,2
A9,3,2
B8,2,2
A10,3,2
B8,2,2
A11,3,2
B8,2,2
A4,1,2
B9,2,-Infinity
A2,3,2
B9,2,2
A3,3,2
B9,2,2
A4,3,0
B9,2,2
A5,3,2
B9,2,2
A6,3,2
B9,2,2
A7,3,2
B9,2,2
A8,3,2
B9,2,2
A9,3,2
B9,2,2
A10,3,2
B9,2,2
A11,3,2
B9,2,2
A4,1,2
B10,2,-Infinity
A2,3,2
B10,2,2
A3,3,2
B10,2,2
A4,3,-Infinity
A2,3,3
A4,3,3
A3,3,3
A4,3,3
A5,3,3
A4,3,3
A6,3,3
A4,3,3
A7,3,3
A4,3,3
A8,3,3
A4,3,3
A9,3,3
A4,3,3
A10,3,3
A4,3,3
A11,3,3
A4,3,3
B10,2,3
A5,3,2
B10,2,3
A6,3,2
B10,2,3
A7,3,2
B10,2,3
A8,3,2
B10,2,3
A9,3,2
B10,2,3
A10,3,2
B10,2,3
A11,3,2
B10,2,3
A4,1,2
B11,2,-Infinity
A2,3,2
B11,2,2
A3,3,2
B11,2,2
A4,3,-Infinity
A2,3,3
A4,3,3
A3,3,3
A4,3,3
A5,3,3
A4,3,3
A6,3,3
A4,3,3
A7,3,3
A4,3,3
A8,3,3
A4,3,3
A9,3,3
A4,3,3
A10,3,3
A4,3,3
A11,3,3
A4,3,3
B11,2,3
A5,3,2
B11,2,3
A6,3,2
B11,2,3
A7,3,2
B11,2,3
A8,3,2
B11,2,3
A9,3,2
B11,2,3
A10,3,2
B11,2,3
A11,3,2
B11,2,3
A4,1,2
root,0,2
A5,1,Infinity
B2,2,-Infinity
A2,3,2
B2,2,2
A3,3,2
B2,2,2
A4,3,2
B2,2,2
A5,3,0
B2,2,2
A6,3,2
B2,2,2
A7,3,2
B2,2,2
A8,3,2
B2,2,2
A9,3,2
B2,2,2
A10,3,2
B2,2,2
A11,3,2
B2,2,2
A5,1,2
B3,2,-Infinity
A2,3,2
B3,2,2
A3,3,2
B3,2,2
A4,3,2
B3,2,2
A5,3,0
B3,2,2
A6,3,2
B3,2,2
A7,3,2
B3,2,2
A8,3,2
B3,2,2
A9,3,2
B3,2,2
A10,3,2
B3,2,2
A11,3,2
B3,2,2
A5,1,2
B4,2,-Infinity
A2,3,2
B4,2,2
A3,3,2
B4,2,2
A4,3,2
B4,2,2
A5,3,0
B4,2,2
A6,3,2
B4,2,2
A7,3,2
B4,2,2
A8,3,2
B4,2,2
A9,3,2
B4,2,2
A10,3,2
B4,2,2
A11,3,2
B4,2,2
A5,1,2
B5,2,-Infinity
A2,3,2
B5,2,2
A3,3,2
B5,2,2
A4,3,2
B5,2,2
A5,3,0
B5,2,2
A6,3,2
B5,2,2
A7,3,2
B5,2,2
A8,3,2
B5,2,2
A9,3,2
B5,2,2
A10,3,2
B5,2,2
A11,3,2
B5,2,2
A5,1,2
B6,2,-Infinity
A2,3,2
B6,2,2
A3,3,2
B6,2,2
A4,3,2
B6,2,2
A5,3,0
B6,2,2
A6,3,2
B6,2,2
A7,3,2
B6,2,2
A8,3,2
B6,2,2
A9,3,2
B6,2,2
A10,3,2
B6,2,2
A11,3,2
B6,2,2
A5,1,2
B7,2,-Infinity
A2,3,2
B7,2,2
A3,3,2
B7,2,2
A4,3,2
B7,2,2
A5,3,0
B7,2,2
A6,3,2
B7,2,2
A7,3,2
B7,2,2
A8,3,2
B7,2,2
A9,3,2
B7,2,2
A10,3,2
B7,2,2
A11,3,2
B7,2,2
A5,1,2
B8,2,-Infinity
A2,3,2
B8,2,2
A3,3,2
B8,2,2
A4,3,2
B8,2,2
A5,3,0
B8,2,2
A6,3,2
B8,2,2
A7,3,2
B8,2,2
A8,3,2
B8,2,2
A9,3,2
B8,2,2
A10,3,2
B8,2,2
A11,3,2
B8,2,2
A5,1,2
B9,2,-Infinity
A2,3,2
B9,2,2
A3,3,2
B9,2,2
A4,3,2
B9,2,2
A5,3,0
B9,2,2
A6,3,2
B9,2,2
A7,3,2
B9,2,2
A8,3,2
B9,2,2
A9,3,2
B9,2,2
A10,3,2
B9,2,2
A11,3,2
B9,2,2
A5,1,2
B10,2,-Infinity
A2,3,2
B10,2,2
A3,3,2
B10,2,2
A4,3,2
B10,2,2
A5,3,0
B10,2,2
A6,3,2
B10,2,2
A7,3,2
B10,2,2
A8,3,2
B10,2,2
A9,3,2
B10,2,2
A10,3,2
B10,2,2
A11,3,2
B10,2,2
A5,1,2
B11,2,-Infinity
A2,3,2
B11,2,2
A3,3,2
B11,2,2
A4,3,2
B11,2,2
A5,3,0
B11,2,2
A6,3,2
B11,2,2
A7,3,2
B11,2,2
A8,3,2
B11,2,2
A9,3,2
B11,2,2
A10,3,2
B11,2,2
A11,3,2
B11,2,2
A5,1,2
root,0,2
A6,1,Infinity
B2,2,-Infinity
A2,3,2
B2,2,2
A3,3,2
B2,2,2
A4,3,2
B2,2,2
A5,3,2
B2,2,2
A6,3,0
B2,2,2
A7,3,2
B2,2,2
A8,3,2
B2,2,2
A9,3,2
B2,2,2
A10,3,2
B2,2,2
A11,3,2
B2,2,2
A6,1,2
B3,2,-Infinity
A2,3,2
B3,2,2
A3,3,2
B3,2,2
A4,3,2
B3,2,2
A5,3,2
B3,2,2
A6,3,0
B3,2,2
A7,3,2
B3,2,2
A8,3,2
B3,2,2
A9,3,2
B3,2,2
A10,3,2
B3,2,2
A11,3,2
B3,2,2
A6,1,2
B4,2,-Infinity
A2,3,2
B4,2,2
A3,3,2
B4,2,2
A4,3,2
B4,2,2
A5,3,2
B4,2,2
A6,3,0
B4,2,2
A7,3,2
B4,2,2
A8,3,2
B4,2,2
A9,3,2
B4,2,2
A10,3,2
B4,2,2
A11,3,2
B4,2,2
A6,1,2
B5,2,-Infinity
A2,3,2
B5,2,2
A3,3,2
B5,2,2
A4,3,2
B5,2,2
A5,3,2
B5,2,2
A6,3,0
B5,2,2
A7,3,2
B5,2,2
A8,3,2
B5,2,2
A9,3,2
B5,2,2
A10,3,2
B5,2,2
A11,3,2
B5,2,2
A6,1,2
B6,2,-Infinity
A2,3,2
B6,2,2
A3,3,2
B6,2,2
A4,3,2
B6,2,2
A5,3,2
B6,2,2
A6,3,0
B6,2,2
A7,3,2
B6,2,2
A8,3,2
B6,2,2
A9,3,2
B6,2,2
A10,3,2
B6,2,2
A11,3,2
B6,2,2
A6,1,2
B7,2,-Infinity
A2,3,2
B7,2,2
A3,3,2
B7,2,2
A4,3,2
B7,2,2
A5,3,2
B7,2,2
A6,3,0
B7,2,2
A7,3,2
B7,2,2
A8,3,2
B7,2,2
A9,3,2
B7,2,2
A10,3,2
B7,2,2
A11,3,2
B7,2,2
A6,1,2
B8,2,-Infinity
A2,3,2
B8,2,2
A3,3,2
B8,2,2
A4,3,2
B8,2,2
A5,3,2
B8,2,2
A6,3,0
B8,2,2
A7,3,2
B8,2,2
A8,3,2
B8,2,2
A9,3,2
B8,2,2
A10,3,2
B8,2,2
A11,3,2
B8,2,2
A6,1,2
B9,2,-Infinity
A2,3,2
B9,2,2
A3,3,2
B9,2,2
A4,3,2
B9,2,2
A5,3,2
B9,2,2
A6,3,0
B9,2,2
A7,3,2
B9,2,2
A8,3,2
B9,2,2
A9,3,2
B9,2,2
A10,3,2
B9,2,2
A11,3,2
B9,2,2
A6,1,2
B10,2,-Infinity
A2,3,2
B10,2,2
A3,3,2
B10,2,2
A4,3,2
B10,2,2
A5,3,2
B10,2,2
A6,3,0
B10,2,2
A7,3,2
B10,2,2
A8,3,2
B10,2,2
A9,3,2
B10,2,2
A10,3,2
B10,2,2
A11,3,2
B10,2,2
A6,1,2
B11,2,-Infinity
A2,3,2
B11,2,2
A3,3,2
B11,2,2
A4,3,2
B11,2,2
A5,3,2
B11,2,2
A6,3,0
B11,2,2
A7,3,2
B11,2,2
A8,3,2
B11,2,2
A9,3,2
B11,2,2
A10,3,2
B11,2,2
A11,3,2
B11,2,2
A6,1,2
root,0,2
A7,1,Infinity
B2,2,-Infinity
A2,3,2
B2,2,2
A3,3,2
B2,2,2
A4,3,2
B2,2,2
A5,3,2
B2,2,2
A6,3,2
B2,2,2
A7,3,0
B2,2,2
A8,3,2
B2,2,2
A9,3,2
B2,2,2
A10,3,2
B2,2,2
A11,3,2
B2,2,2
A7,1,2
B3,2,-Infinity
A2,3,2
B3,2,2
A3,3,2
B3,2,2
A4,3,2
B3,2,2
A5,3,2
B3,2,2
A6,3,2
B3,2,2
A7,3,0
B3,2,2
A8,3,2
B3,2,2
A9,3,2
B3,2,2
A10,3,2
B3,2,2
A11,3,2
B3,2,2
A7,1,2
B4,2,-Infinity
A2,3,2
B4,2,2
A3,3,2
B4,2,2
A4,3,2
B4,2,2
A5,3,2
B4,2,2
A6,3,2
B4,2,2
A7,3,0
B4,2,2
A8,3,2
B4,2,2
A9,3,2
B4,2,2
A10,3,2
B4,2,2
A11,3,2
B4,2,2
A7,1,2
B5,2,-Infinity
A2,3,2
B5,2,2
A3,3,2
B5,2,2
A4,3,2
B5,2,2
A5,3,2
B5,2,2
A6,3,2
B5,2,2
A7,3,0
B5,2,2
A8,3,2
B5,2,2
A9,3,2
B5,2,2
A10,3,2
B5,2,2
A11,3,2
B5,2,2
A7,1,2
B6,2,-Infinity
A2,3,2
B6,2,2
A3,3,2
B6,2,2
A4,3,2
B6,2,2
A5,3,2
B6,2,2
A6,3,2
B6,2,2
A7,3,0
B6,2,2
A8,3,2
B6,2,2
A9,3,2
B6,2,2
A10,3,2
B6,2,2
A11,3,2
B6,2,2
A7,1,2
B7,2,-Infinity
A2,3,2
B7,2,2
A3,3,2
B7,2,2
A4,3,2
B7,2,2
A5,3,2
B7,2,2
A6,3,2
B7,2,2
A7,3,0
B7,2,2
A8,3,2
B7,2,2
A9,3,2
B7,2,2
A10,3,2
B7,2,2
A11,3,2
B7,2,2
A7,1,2
B8,2,-Infinity
A2,3,2
B8,2,2
A3,3,2
B8,2,2
A4,3,2
B8,2,2
A5,3,2
B8,2,2
A6,3,2
B8,2,2
A7,3,0
B8,2,2
A8,3,2
B8,2,2
A9,3,2
B8,2,2
A10,3,2
B8,2,2
A11,3,2
B8,2,2
A7,1,2
B9,2,-Infinity
A2,3,2
B9,2,2
A3,3,2
B9,2,2
A4,3,2
B9,2,2
A5,3,2
B9,2,2
A6,3,2
B9,2,2
A7,3,0
B9,2,2
A8,3,2
B9,2,2
A9,3,2
B9,2,2
A10,3,2
B9,2,2
A11,3,2
B9,2,2
A7,1,2
B10,2,-Infinity
A2,3,2
B10,2,2
A3,3,2
B10,2,2
A4,3,2
B10,2,2
A5,3,2
B10,2,2
A6,3,2
B10,2,2
A7,3,0
B10,2,2
A8,3,2
B10,2,2
A9,3,2
B10,2,2
A10,3,2
B10,2,2
A11,3,2
B10,2,2
A7,1,2
B11,2,-Infinity
A2,3,2
B11,2,2
A3,3,2
B11,2,2
A4,3,2
B11,2,2
A5,3,2
B11,2,2
A6,3,2
B11,2,2
A7,3,0
B11,2,2
A8,3,2
B11,2,2
A9,3,2
B11,2,2
A10,3,2
B11,2,2
A11,3,2
B11,2,2
A7,1,2
root,0,2
A8,1,Infinity
B2,2,-Infinity
A2,3,2
B2,2,2
A3,3,2
B2,2,2
A4,3,2
B2,2,2
A5,3,2
B2,2,2
A6,3,2
B2,2,2
A7,3,2
B2,2,2
A8,3,0
B2,2,2
A9,3,2
B2,2,2
A10,3,2
B2,2,2
A11,3,2
B2,2,2
A8,1,2
B3,2,-Infinity
A2,3,2
B3,2,2
A3,3,2
B3,2,2
A4,3,2
B3,2,2
A5,3,2
B3,2,2
A6,3,2
B3,2,2
A7,3,2
B3,2,2
A8,3,0
B3,2,2
A9,3,2
B3,2,2
A10,3,2
B3,2,2
A11,3,2
B3,2,2
A8,1,2
B4,2,-Infinity
A2,3,2
B4,2,2
A3,3,2
B4,2,2
A4,3,2
B4,2,2
A5,3,2
B4,2,2
A6,3,2
B4,2,2
A7,3,2
B4,2,2
A8,3,0
B4,2,2
A9,3,2
B4,2,2
A10,3,2
B4,2,2
A11,3,2
B4,2,2
A8,1,2
B5,2,-Infinity
A2,3,2
B5,2,2
A3,3,2
B5,2,2
A4,3,2
B5,2,2
A5,3,2
B5,2,2
A6,3,2
B5,2,2
A7,3,2
B5,2,2
A8,3,0
B5,2,2
A9,3,2
B5,2,2
A10,3,2
B5,2,2
A11,3,2
B5,2,2
A8,1,2
B6,2,-Infinity
A2,3,2
B6,2,2
A3,3,2
B6,2,2
A4,3,2
B6,2,2
A5,3,2
B6,2,2
A6,3,2
B6,2,2
A7,3,2
B6,2,2
A8,3,0
B6,2,2
A9,3,2
B6,2,2
A10,3,2
B6,2,2
A11,3,2
B6,2,2
A8,1,2
B7,2,-Infinity
A2,3,2
B7,2,2
A3,3,2
B7,2,2
A4,3,2
B7,2,2
A5,3,2
B7,2,2
A6,3,2
B7,2,2
A7,3,2
B7,2,2
A8,3,0
B7,2,2
A9,3,2
B7,2,2
A10,3,2
B7,2,2
A11,3,2
B7,2,2
A8,1,2
B8,2,-Infinity
A2,3,2
B8,2,2
A3,3,2
B8,2,2
A4,3,2
B8,2,2
A5,3,2
B8,2,2
A6,3,2
B8,2,2
A7,3,2
B8,2,2
A8,3,0
B8,2,2
A9,3,2
B8,2,2
A10,3,2
B8,2,2
A11,3,2
B8,2,2
A8,1,2
B9,2,-Infinity
A2,3,2
B9,2,2
A3,3,2
B9,2,2
A4,3,2
B9,2,2
A5,3,2
B9,2,2
A6,3,2
B9,2,2
A7,3,2
B9,2,2
A8,3,0
B9,2,2
A9,3,2
B9,2,2
A10,3,2
B9,2,2
A11,3,2
B9,2,2
A8,1,2
B10,2,-Infinity
A2,3,2
B10,2,2
A3,3,2
B10,2,2
A4,3,2
B10,2,2
A5,3,2
B10,2,2
A6,3,2
B10,2,2
A7,3,2
B10,2,2
A8,3,0
B10,2,2
A9,3,2
B10,2,2
A10,3,2
B10,2,2
A11,3,2
B10,2,2
A8,1,2
B11,2,-Infinity
A2,3,2
B11,2,2
A3,3,2
B11,2,2
A4,3,2
B11,2,2
A5,3,2
B11,2,2
A6,3,2
B11,2,2
A7,3,2
B11,2,2
A8,3,0
B11,2,2
A9,3,2
B11,2,2
A10,3,2
B11,2,2
A11,3,2
B11,2,2
A8,1,2
root,0,2
A9,1,Infinity
B2,2,-Infinity
A2,3,2
B2,2,2
A3,3,2
B2,2,2
A4,3,2
B2,2,2
A5,3,2
B2,2,2
A6,3,2
B2,2,2
A7,3,2
B2,2,2
A8,3,2
B2,2,2
A9,3,0
B2,2,2
A10,3,2
B2,2,2
A11,3,2
B2,2,2
A9,1,2
B3,2,-Infinity
A2,3,2
B3,2,2
A3,3,2
B3,2,2
A4,3,2
B3,2,2
A5,3,2
B3,2,2
A6,3,2
B3,2,2
A7,3,2
B3,2,2
A8,3,2
B3,2,2
A9,3,0
B3,2,2
A10,3,2
B3,2,2
A11,3,2
B3,2,2
A9,1,2
B4,2,-Infinity
A2,3,2
B4,2,2
A3,3,2
B4,2,2
A4,3,2
B4,2,2
A5,3,2
B4,2,2
A6,3,2
B4,2,2
A7,3,2
B4,2,2
A8,3,2
B4,2,2
A9,3,0
B4,2,2
A10,3,2
B4,2,2
A11,3,2
B4,2,2
A9,1,2
B5,2,-Infinity
A2,3,2
B5,2,2
A3,3,2
B5,2,2
A4,3,2
B5,2,2
A5,3,2
B5,2,2
A6,3,2
B5,2,2
A7,3,2
B5,2,2
A8,3,2
B5,2,2
A9,3,0
B5,2,2
A10,3,2
B5,2,2
A11,3,2
B5,2,2
A9,1,2
B6,2,-Infinity
A2,3,2
B6,2,2
A3,3,2
B6,2,2
A4,3,2
B6,2,2
A5,3,2
B6,2,2
A6,3,2
B6,2,2
A7,3,2
B6,2,2
A8,3,2
B6,2,2
A9,3,0
B6,2,2
A10,3,2
B6,2,2
A11,3,2
B6,2,2
A9,1,2
B7,2,-Infinity
A2,3,2
B7,2,2
A3,3,2
B7,2,2
A4,3,2
B7,2,2
A5,3,2
B7,2,2
A6,3,2
B7,2,2
A7,3,2
B7,2,2
A8,3,2
B7,2,2
A9,3,0
B7,2,2
A10,3,2
B7,2,2
A11,3,2
B7,2,2
A9,1,2
B8,2,-Infinity
A2,3,2
B8,2,2
A3,3,2
B8,2,2
A4,3,2
B8,2,2
A5,3,2
B8,2,2
A6,3,2
B8,2,2
A7,3,2
B8,2,2
A8,3,2
B8,2,2
A9,3,0
B8,2,2
A10,3,2
B8,2,2
A11,3,2
B8,2,2
A9,1,2
B9,2,-Infinity
A2,3,2
B9,2,2
A3,3,2
B9,2,2
A4,3,2
B9,2,2
A5,3,2
B9,2,2
A6,3,2
B9,2,2
A7,3,2
B9,2,2
A8,3,2
B9,2,2
A9,3,0
B9,2,2
A10,3,2
B9,2,2
A11,3,2
B9,2,2
A9,1,2
B10,2,-Infinity
A2,3,2
B10,2,2
A3,3,2
B10,2,2
A4,3,2
B10,2,2
A5,3,2
B10,2,2
A6,3,2
B10,2,2
A7,3,2
